,Logistic Regression,Decision Tree,SVM Classifier,Random Forest,Gradient Boosting
Random Undersampling,0.2,0.4,0.0,0.4,0.4
Random Oversampling,0.9109947643979057,0.9842931937172775,0.6858638743455497,0.9973821989528796,0.9921465968586387
Tomek Links,0.9895833333333334,0.984375,0.9895833333333334,0.9895833333333334,0.984375
SMOTE,0.9162303664921466,0.9738219895287958,0.6727748691099477,0.9921465968586387,0.9842931937172775
Near-Miss,0.0,0.0,0.0,0.0,0.0
